ID,sentimiento
60000,positivo
60001,negativo
60002,negativo
60003,positivo
60004,positivo
60005,negativo
60006,positivo
60007,negativo
60008,positivo
60009,negativo
60010,negativo
60011,positivo
60012,positivo
60013,negativo
60014,negativo
60015,negativo
60016,negativo
60017,negativo
60018,negativo
60019,negativo
60020,negativo
60021,positivo
60022,negativo
60023,positivo
60024,negativo
60025,negativo
60026,negativo
60027,negativo
60028,negativo
60029,positivo
60030,negativo
60031,negativo
60032,positivo
60033,negativo
60034,negativo
60035,positivo
60036,positivo
60037,negativo
60038,negativo
60039,negativo
60040,positivo
60041,negativo
60042,negativo
60043,positivo
60044,negativo
60045,positivo
60046,negativo
60047,positivo
60048,negativo
60049,negativo
60050,negativo
60051,negativo
60052,negativo
60053,negativo
60054,negativo
60055,positivo
60056,positivo
60057,negativo
60058,negativo
60059,negativo
60060,negativo
60061,positivo
60062,positivo
60063,positivo
60064,positivo
60065,positivo
60066,positivo
60067,positivo
60068,negativo
60069,negativo
60070,negativo
60071,negativo
60072,positivo
60073,positivo
60074,negativo
60075,negativo
60076,positivo
60077,positivo
60078,negativo
60079,positivo
60080,positivo
60081,positivo
60082,positivo
60083,negativo
60084,negativo
60085,negativo
60086,negativo
60087,negativo
60088,positivo
60089,negativo
60090,negativo
60091,negativo
60092,positivo
60093,negativo
60094,negativo
60095,negativo
60096,negativo
60097,negativo
60098,positivo
60099,negativo
60100,negativo
60101,positivo
60102,negativo
60103,negativo
60104,negativo
60105,negativo
60106,negativo
60107,negativo
60108,positivo
60109,positivo
60110,negativo
60111,negativo
60112,negativo
60113,negativo
60114,negativo
60115,negativo
60116,negativo
60117,positivo
60118,positivo
60119,positivo
60120,positivo
60121,positivo
60122,negativo
60123,positivo
60124,positivo
60125,negativo
60126,positivo
60127,negativo
60128,negativo
60129,negativo
60130,positivo
60131,negativo
60132,negativo
60133,positivo
60134,positivo
60135,negativo
60136,negativo
60137,positivo
60138,positivo
60139,negativo
60140,negativo
60141,positivo
60142,negativo
60143,positivo
60144,negativo
60145,negativo
60146,positivo
60147,negativo
60148,negativo
60149,negativo
60150,negativo
60151,negativo
60152,negativo
60153,negativo
60154,negativo
60155,negativo
60156,negativo
60157,positivo
60158,negativo
60159,negativo
60160,negativo
60161,negativo
60162,negativo
60163,positivo
60164,negativo
60165,positivo
60166,negativo
60167,negativo
60168,positivo
60169,negativo
60170,negativo
60171,negativo
60172,positivo
60173,positivo
60174,positivo
60175,negativo
60176,positivo
60177,negativo
60178,positivo
60179,negativo
60180,positivo
60181,positivo
60182,negativo
60183,negativo
60184,negativo
60185,negativo
60186,negativo
60187,negativo
60188,positivo
60189,negativo
60190,negativo
60191,negativo
60192,positivo
60193,negativo
60194,positivo
60195,positivo
60196,positivo
60197,positivo
60198,negativo
60199,negativo
60200,negativo
60201,negativo
60202,negativo
60203,positivo
60204,negativo
60205,positivo
60206,positivo
60207,negativo
60208,positivo
60209,negativo
60210,negativo
60211,negativo
60212,negativo
60213,negativo
60214,positivo
60215,positivo
60216,negativo
60217,positivo
60218,positivo
60219,negativo
60220,negativo
60221,positivo
60222,negativo
60223,positivo
60224,negativo
60225,negativo
60226,negativo
60227,positivo
60228,positivo
60229,positivo
60230,negativo
60231,positivo
60232,positivo
60233,negativo
60234,negativo
60235,positivo
60236,negativo
60237,positivo
60238,positivo
60239,negativo
60240,negativo
60241,negativo
60242,positivo
60243,positivo
60244,negativo
60245,negativo
60246,negativo
60247,negativo
60248,positivo
60249,positivo
60250,negativo
60251,negativo
60252,negativo
60253,negativo
60254,negativo
60255,positivo
60256,positivo
60257,negativo
60258,positivo
60259,negativo
60260,positivo
60261,negativo
60262,positivo
60263,positivo
60264,positivo
60265,positivo
60266,positivo
60267,positivo
60268,negativo
60269,negativo
60270,negativo
60271,negativo
60272,negativo
60273,positivo
60274,positivo
60275,negativo
60276,positivo
60277,positivo
60278,positivo
60279,positivo
60280,negativo
60281,negativo
60282,negativo
60283,negativo
60284,positivo
60285,positivo
60286,positivo
60287,negativo
60288,positivo
60289,positivo
60290,negativo
60291,negativo
60292,negativo
60293,negativo
60294,positivo
60295,negativo
60296,negativo
60297,positivo
60298,negativo
60299,negativo
60300,negativo
60301,positivo
60302,positivo
60303,negativo
60304,positivo
60305,positivo
60306,positivo
60307,positivo
60308,positivo
60309,positivo
60310,negativo
60311,positivo
60312,negativo
60313,negativo
60314,negativo
60315,negativo
60316,positivo
60317,positivo
60318,positivo
60319,positivo
60320,negativo
60321,positivo
60322,negativo
60323,negativo
60324,negativo
60325,positivo
60326,positivo
60327,positivo
60328,negativo
60329,positivo
60330,negativo
60331,negativo
60332,negativo
60333,positivo
60334,negativo
60335,positivo
60336,positivo
60337,positivo
60338,negativo
60339,negativo
60340,negativo
60341,negativo
60342,positivo
60343,negativo
60344,negativo
60345,negativo
60346,negativo
60347,negativo
60348,negativo
60349,negativo
60350,negativo
60351,negativo
60352,negativo
60353,negativo
60354,negativo
60355,negativo
60356,negativo
60357,negativo
60358,negativo
60359,positivo
60360,negativo
60361,negativo
60362,negativo
60363,negativo
60364,positivo
60365,positivo
60366,positivo
60367,negativo
60368,positivo
60369,negativo
60370,negativo
60371,negativo
60372,negativo
60373,negativo
60374,negativo
60375,negativo
60376,positivo
60377,positivo
60378,positivo
60379,positivo
60380,positivo
60381,negativo
60382,negativo
60383,positivo
60384,positivo
60385,negativo
60386,negativo
60387,negativo
60388,positivo
60389,positivo
60390,negativo
60391,negativo
60392,positivo
60393,positivo
60394,negativo
60395,negativo
60396,positivo
60397,negativo
60398,positivo
60399,negativo
60400,negativo
60401,negativo
60402,positivo
60403,positivo
60404,negativo
60405,negativo
60406,negativo
60407,negativo
60408,negativo
60409,negativo
60410,negativo
60411,negativo
60412,negativo
60413,negativo
60414,negativo
60415,positivo
60416,negativo
60417,positivo
60418,negativo
60419,negativo
60420,negativo
60421,positivo
60422,negativo
60423,negativo
60424,positivo
60425,negativo
60426,negativo
60427,positivo
60428,negativo
60429,negativo
60430,negativo
60431,positivo
60432,positivo
60433,negativo
60434,positivo
60435,positivo
60436,negativo
60437,positivo
60438,positivo
60439,positivo
60440,positivo
60441,positivo
60442,negativo
60443,negativo
60444,positivo
60445,positivo
60446,positivo
60447,negativo
60448,positivo
60449,negativo
60450,positivo
60451,positivo
60452,positivo
60453,positivo
60454,positivo
60455,positivo
60456,negativo
60457,negativo
60458,negativo
60459,positivo
60460,negativo
60461,negativo
60462,negativo
60463,positivo
60464,negativo
60465,positivo
60466,negativo
60467,negativo
60468,negativo
60469,negativo
60470,negativo
60471,negativo
60472,negativo
60473,negativo
60474,positivo
60475,positivo
60476,negativo
60477,negativo
60478,positivo
60479,negativo
60480,negativo
60481,negativo
60482,positivo
60483,positivo
60484,negativo
60485,negativo
60486,negativo
60487,positivo
60488,positivo
60489,negativo
60490,negativo
60491,negativo
60492,negativo
60493,negativo
60494,positivo
60495,negativo
60496,negativo
60497,positivo
60498,negativo
60499,negativo
60500,negativo
60501,positivo
60502,positivo
60503,positivo
60504,negativo
60505,negativo
60506,positivo
60507,positivo
60508,positivo
60509,negativo
60510,positivo
60511,positivo
60512,negativo
60513,negativo
60514,negativo
60515,negativo
60516,negativo
60517,negativo
60518,negativo
60519,positivo
60520,negativo
60521,negativo
60522,negativo
60523,positivo
60524,negativo
60525,negativo
60526,negativo
60527,negativo
60528,negativo
60529,negativo
60530,negativo
60531,negativo
60532,negativo
60533,negativo
60534,negativo
60535,positivo
60536,negativo
60537,negativo
60538,negativo
60539,positivo
60540,negativo
60541,positivo
60542,negativo
60543,negativo
60544,positivo
60545,negativo
60546,negativo
60547,positivo
60548,negativo
60549,negativo
60550,negativo
60551,positivo
60552,negativo
60553,negativo
60554,positivo
60555,positivo
60556,negativo
60557,positivo
60558,positivo
60559,negativo
60560,negativo
60561,negativo
60562,negativo
60563,negativo
60564,negativo
60565,negativo
60566,negativo
60567,negativo
60568,negativo
60569,negativo
60570,negativo
60571,negativo
60572,negativo
60573,negativo
60574,negativo
60575,negativo
60576,negativo
60577,negativo
60578,negativo
60579,positivo
60580,negativo
60581,negativo
60582,negativo
60583,negativo
60584,negativo
60585,positivo
60586,negativo
60587,negativo
60588,negativo
60589,positivo
60590,positivo
60591,negativo
60592,positivo
60593,negativo
60594,negativo
60595,negativo
60596,negativo
60597,positivo
60598,positivo
60599,positivo
60600,negativo
60601,positivo
60602,positivo
60603,negativo
60604,negativo
60605,positivo
60606,negativo
60607,positivo
60608,negativo
60609,negativo
60610,positivo
60611,negativo
60612,positivo
60613,negativo
60614,positivo
60615,positivo
60616,negativo
60617,positivo
60618,negativo
60619,negativo
60620,positivo
60621,negativo
60622,negativo
60623,positivo
60624,negativo
60625,negativo
60626,positivo
60627,negativo
60628,negativo
60629,negativo
60630,positivo
60631,negativo
60632,negativo
60633,negativo
60634,negativo
60635,negativo
60636,negativo
60637,positivo
60638,negativo
60639,negativo
60640,positivo
60641,positivo
60642,negativo
60643,negativo
60644,negativo
60645,positivo
60646,negativo
60647,negativo
60648,positivo
60649,negativo
60650,negativo
60651,positivo
60652,positivo
60653,positivo
60654,negativo
60655,positivo
60656,negativo
60657,negativo
60658,negativo
60659,negativo
60660,positivo
60661,negativo
60662,negativo
60663,negativo
60664,negativo
60665,negativo
60666,positivo
60667,positivo
60668,positivo
60669,negativo
60670,negativo
60671,negativo
60672,positivo
60673,positivo
60674,negativo
60675,negativo
60676,positivo
60677,negativo
60678,negativo
60679,negativo
60680,positivo
60681,positivo
60682,positivo
60683,negativo
60684,negativo
60685,negativo
60686,negativo
60687,negativo
60688,negativo
60689,negativo
60690,positivo
60691,negativo
60692,negativo
60693,negativo
60694,negativo
60695,negativo
60696,negativo
60697,negativo
60698,negativo
60699,negativo
60700,negativo
60701,negativo
60702,positivo
60703,negativo
60704,positivo
60705,negativo
60706,negativo
60707,negativo
60708,positivo
60709,negativo
60710,positivo
60711,positivo
60712,negativo
60713,positivo
60714,negativo
60715,negativo
60716,positivo
60717,negativo
60718,negativo
60719,negativo
60720,negativo
60721,negativo
60722,negativo
60723,negativo
60724,negativo
60725,negativo
60726,negativo
60727,positivo
60728,negativo
60729,negativo
60730,positivo
60731,negativo
60732,positivo
60733,negativo
60734,negativo
60735,positivo
60736,negativo
60737,positivo
60738,positivo
60739,positivo
60740,positivo
60741,negativo
60742,positivo
60743,positivo
60744,positivo
60745,negativo
60746,positivo
60747,positivo
60748,positivo
60749,negativo
60750,negativo
60751,negativo
60752,positivo
60753,positivo
60754,positivo
60755,negativo
60756,negativo
60757,negativo
60758,negativo
60759,negativo
60760,positivo
60761,negativo
60762,negativo
60763,negativo
60764,negativo
60765,negativo
60766,negativo
60767,positivo
60768,negativo
60769,negativo
60770,negativo
60771,negativo
60772,negativo
60773,positivo
60774,positivo
60775,negativo
60776,positivo
60777,negativo
60778,negativo
60779,negativo
60780,negativo
60781,positivo
60782,negativo
60783,negativo
60784,positivo
60785,negativo
60786,negativo
60787,positivo
60788,positivo
60789,negativo
60790,negativo
60791,negativo
60792,positivo
60793,negativo
60794,negativo
60795,negativo
60796,negativo
60797,negativo
60798,negativo
60799,positivo
60800,negativo
60801,negativo
60802,negativo
60803,positivo
60804,negativo
60805,negativo
60806,positivo
60807,positivo
60808,negativo
60809,negativo
60810,negativo
60811,negativo
60812,negativo
60813,negativo
60814,negativo
60815,negativo
60816,negativo
60817,positivo
60818,positivo
60819,negativo
60820,negativo
60821,negativo
60822,positivo
60823,positivo
60824,positivo
60825,negativo
60826,negativo
60827,negativo
60828,positivo
60829,negativo
60830,negativo
60831,negativo
60832,negativo
60833,negativo
60834,negativo
60835,positivo
60836,positivo
60837,negativo
60838,negativo
60839,negativo
60840,negativo
60841,positivo
60842,positivo
60843,negativo
60844,positivo
60845,negativo
60846,positivo
60847,negativo
60848,positivo
60849,negativo
60850,positivo
60851,negativo
60852,negativo
60853,negativo
60854,negativo
60855,negativo
60856,positivo
60857,positivo
60858,negativo
60859,negativo
60860,negativo
60861,positivo
60862,negativo
60863,positivo
60864,positivo
60865,negativo
60866,negativo
60867,negativo
60868,positivo
60869,negativo
60870,positivo
60871,negativo
60872,negativo
60873,negativo
60874,positivo
60875,positivo
60876,positivo
60877,positivo
60878,positivo
60879,positivo
60880,positivo
60881,positivo
60882,negativo
60883,positivo
60884,positivo
60885,negativo
60886,negativo
60887,positivo
60888,negativo
60889,positivo
60890,negativo
60891,positivo
60892,positivo
60893,negativo
60894,negativo
60895,negativo
60896,positivo
60897,positivo
60898,negativo
60899,negativo
60900,negativo
60901,negativo
60902,positivo
60903,negativo
60904,positivo
60905,positivo
60906,negativo
60907,negativo
60908,positivo
60909,negativo
60910,negativo
60911,positivo
60912,negativo
60913,positivo
60914,negativo
60915,negativo
60916,negativo
60917,negativo
60918,negativo
60919,positivo
60920,negativo
60921,negativo
60922,positivo
60923,negativo
60924,negativo
60925,positivo
60926,negativo
60927,positivo
60928,positivo
60929,negativo
60930,positivo
60931,positivo
60932,negativo
60933,negativo
60934,negativo
60935,negativo
60936,negativo
60937,negativo
60938,positivo
60939,negativo
60940,positivo
60941,negativo
60942,positivo
60943,negativo
60944,positivo
60945,negativo
60946,positivo
60947,negativo
60948,positivo
60949,positivo
60950,negativo
60951,negativo
60952,positivo
60953,negativo
60954,negativo
60955,positivo
60956,positivo
60957,positivo
60958,positivo
60959,positivo
60960,positivo
60961,negativo
60962,negativo
60963,negativo
60964,positivo
60965,positivo
60966,negativo
60967,positivo
60968,negativo
60969,positivo
60970,negativo
60971,negativo
60972,negativo
60973,negativo
60974,negativo
60975,positivo
60976,positivo
60977,positivo
60978,negativo
60979,negativo
60980,positivo
60981,negativo
60982,positivo
60983,negativo
60984,positivo
60985,negativo
60986,positivo
60987,negativo
60988,negativo
60989,negativo
60990,negativo
60991,negativo
60992,negativo
60993,positivo
60994,positivo
60995,negativo
60996,negativo
60997,positivo
60998,positivo
60999,positivo
61000,negativo
61001,positivo
61002,positivo
61003,positivo
61004,negativo
61005,positivo
61006,negativo
61007,negativo
61008,negativo
61009,positivo
61010,positivo
61011,positivo
61012,negativo
61013,negativo
61014,positivo
61015,negativo
61016,positivo
61017,positivo
61018,positivo
61019,negativo
61020,positivo
61021,positivo
61022,negativo
61023,negativo
61024,negativo
61025,positivo
61026,positivo
61027,negativo
61028,negativo
61029,negativo
61030,positivo
61031,positivo
61032,negativo
61033,positivo
61034,positivo
61035,negativo
61036,positivo
61037,negativo
61038,negativo
61039,negativo
61040,negativo
61041,negativo
61042,positivo
61043,negativo
61044,positivo
61045,negativo
61046,negativo
61047,positivo
61048,negativo
61049,positivo
61050,negativo
61051,negativo
61052,negativo
61053,positivo
61054,negativo
61055,positivo
61056,positivo
61057,positivo
61058,positivo
61059,negativo
61060,positivo
61061,negativo
61062,negativo
61063,positivo
61064,negativo
61065,positivo
61066,negativo
61067,positivo
61068,negativo
61069,negativo
61070,negativo
61071,negativo
61072,positivo
61073,negativo
61074,negativo
61075,negativo
61076,negativo
61077,positivo
61078,negativo
61079,negativo
61080,positivo
61081,negativo
61082,positivo
61083,negativo
61084,negativo
61085,negativo
61086,negativo
61087,negativo
61088,negativo
61089,negativo
61090,positivo
61091,positivo
61092,negativo
61093,negativo
61094,positivo
61095,negativo
61096,negativo
61097,negativo
61098,positivo
61099,positivo
61100,negativo
61101,negativo
61102,positivo
61103,positivo
61104,negativo
61105,negativo
61106,negativo
61107,positivo
61108,positivo
61109,negativo
61110,positivo
61111,positivo
61112,negativo
61113,positivo
61114,negativo
61115,positivo
61116,positivo
61117,negativo
61118,negativo
61119,positivo
61120,negativo
61121,positivo
61122,positivo
61123,negativo
61124,positivo
61125,negativo
61126,positivo
61127,negativo
61128,negativo
61129,negativo
61130,negativo
61131,negativo
61132,negativo
61133,negativo
61134,negativo
61135,negativo
61136,negativo
61137,negativo
61138,negativo
61139,negativo
61140,positivo
61141,negativo
61142,negativo
61143,negativo
61144,negativo
61145,negativo
61146,negativo
61147,positivo
61148,negativo
61149,negativo
61150,negativo
61151,positivo
61152,negativo
61153,negativo
61154,positivo
61155,positivo
61156,negativo
61157,positivo
61158,negativo
61159,positivo
61160,negativo
61161,negativo
61162,negativo
61163,negativo
61164,positivo
61165,negativo
61166,positivo
61167,negativo
61168,negativo
61169,positivo
61170,negativo
61171,positivo
61172,positivo
61173,negativo
61174,negativo
61175,negativo
61176,negativo
61177,negativo
61178,negativo
61179,positivo
61180,negativo
61181,positivo
61182,negativo
61183,positivo
61184,negativo
61185,negativo
61186,positivo
61187,negativo
61188,positivo
61189,negativo
61190,negativo
61191,negativo
61192,negativo
61193,negativo
61194,negativo
61195,negativo
61196,negativo
61197,negativo
61198,negativo
61199,negativo
61200,positivo
61201,positivo
61202,positivo
61203,negativo
61204,negativo
61205,negativo
61206,negativo
61207,positivo
61208,positivo
61209,positivo
61210,positivo
61211,negativo
61212,negativo
61213,negativo
61214,negativo
61215,positivo
61216,negativo
61217,negativo
61218,positivo
61219,negativo
61220,positivo
61221,positivo
61222,positivo
61223,negativo
61224,negativo
61225,positivo
61226,negativo
61227,positivo
61228,negativo
61229,positivo
61230,positivo
61231,negativo
61232,negativo
61233,negativo
61234,positivo
61235,positivo
61236,negativo
61237,negativo
61238,negativo
61239,negativo
61240,positivo
61241,negativo
61242,positivo
61243,positivo
61244,negativo
61245,negativo
61246,positivo
61247,negativo
61248,positivo
61249,negativo
61250,positivo
61251,positivo
61252,negativo
61253,positivo
61254,negativo
61255,positivo
61256,positivo
61257,negativo
61258,positivo
61259,negativo
61260,positivo
61261,negativo
61262,negativo
61263,positivo
61264,positivo
61265,negativo
61266,positivo
61267,negativo
61268,positivo
61269,positivo
61270,negativo
61271,negativo
61272,positivo
61273,negativo
61274,negativo
61275,positivo
61276,negativo
61277,negativo
61278,positivo
61279,positivo
61280,negativo
61281,positivo
61282,negativo
61283,negativo
61284,positivo
61285,positivo
61286,positivo
61287,negativo
61288,negativo
61289,negativo
61290,negativo
61291,negativo
61292,negativo
61293,negativo
61294,positivo
61295,positivo
61296,positivo
61297,positivo
61298,negativo
61299,negativo
61300,positivo
61301,negativo
61302,positivo
61303,negativo
61304,negativo
61305,negativo
61306,negativo
61307,negativo
61308,negativo
61309,positivo
61310,negativo
61311,positivo
61312,positivo
61313,positivo
61314,positivo
61315,negativo
61316,negativo
61317,negativo
61318,negativo
61319,negativo
61320,negativo
61321,negativo
61322,negativo
61323,negativo
61324,negativo
61325,positivo
61326,positivo
61327,positivo
61328,negativo
61329,negativo
61330,negativo
61331,negativo
61332,positivo
61333,positivo
61334,negativo
61335,positivo
61336,negativo
61337,positivo
61338,negativo
61339,negativo
61340,positivo
61341,negativo
61342,positivo
61343,negativo
61344,positivo
61345,positivo
61346,positivo
61347,negativo
61348,positivo
61349,negativo
61350,negativo
61351,positivo
61352,negativo
61353,negativo
61354,positivo
61355,positivo
61356,positivo
61357,positivo
61358,positivo
61359,positivo
61360,positivo
61361,negativo
61362,negativo
61363,negativo
61364,positivo
61365,negativo
61366,negativo
61367,negativo
61368,positivo
61369,positivo
61370,negativo
61371,negativo
61372,negativo
61373,negativo
61374,positivo
61375,positivo
61376,negativo
61377,positivo
61378,negativo
